center_lat,center_lon,center_date
44.82575,8.20441,2016-11-21
45.15684,7.51324,2016-11-21
45.6942,13.78385,2017-04-26
44.99664,20.93436,2017-06-06
45.08571,3.83456,2017-06-13
44.17807,15.34074,2017-09-10
45.35099,14.7633,2017-09-16
44.61153,10.59482,2017-12-10
44.85187,9.66558,2017-12-10
47.06987,6.23887,2018-01-21
44.69754,15.42588,2018-03-10
45.3277,15.48642,2018-03-10
45.33378,16.49165,2018-03-10
45.76809,15.59326,2018-03-10
44.06398,25.17565,2018-03-14
45.78525,25.15435,2018-03-14
45.89668,26.00778,2018-03-14
46.60645,24.62555,2018-03-14
46.64398,25.61897,2018-03-14
46.91427,15.19756,2018-05-13
